Tub,,,,,,
004001,HR Wht 2/Tub Tulk,30 ,,,,
8264M,98.33% ,30 ,,,,
 10/01/2018,157569,200 ,(170),HRF01,,
009037,HR Wht 6/Tub SysCl,491 ,,,,
8264M,98.33% ,491 ,,,,
 09/28/2018,157509,65 ,(29),HRF01,,**CHEP**
 10/01/2018,157436,150 ,(179),HRF01,,**CHEP**
 10/01/2018,157437,78 ,(257),HRF01,,**CHEP**
 10/01/2018,157447,260 ,(517),HRF01,,
 10/04/2018,157508,24 ,(541),HRF01,,**CHEP**
 10/04/2018,157539,78 ,(619),HRF01,,**CHEP**
 10/04/2018,157548,26 ,(645),HRF01,,**CHEP**
 10/08/2018,157560,100 ,(745),HRF01,,**CHEP**
009147,HR Wht 6/Tub Monarch,506 ,,,,
8261M,98.33% ,345 ,,,,
8263M,97.78% ,161 ,,,,
 10/01/2018,157452,39 ,(11),HRF01,,
 10/01/2018,157453,39 ,(50),HRF01,,
 10/01/2018,157454,26 ,(76),HRF01,,
 10/01/2018,157456,10 ,(86),HRF01,,
 10/01/2018,157569,260 ,(346),HRF01,,
 10/03/2018,157531,234 ,(580),HRF01,,
 10/04/2018,157444,52 ,(632),HRF01,,
025229S,Cktail Sce 24/8oz Publix,0 ,,,,
09132019M,96.67% ,6 ,,,,
 09/27/2018,157547,390 ,(390),CSR01S,,**CHEP**
047001,Gar/W 6/Tub Tulk,148 ,,,,
8261M,96.67% ,148 ,,,,
 10/02/2018,157435,39 ,(21),GWR04,,**CHEP**
 10/02/2018,157510,104 ,(125),GWR04,,**CHEP**
 10/02/2018,157511,120 ,(245),GWR04,,**CHEP**
 10/02/2018,157512,234 ,(479),GWR04,,**CHEP**
 10/02/2018,157517,13 ,(492),GWR04,,
 10/03/2018,157451,234 ,(726),GWR04,,**CHEP**
 10/03/2018,157530,273 ,(999),GWR04,,**CHEP**
047036,Gar/W 6/Tub Arrez,457 ,,,,
8260M,96.11% ,457 ,,,,
 10/04/2018,157539,78 ,(61),GWR04,,**CHEP**
 10/08/2018,157560,100 ,(161),GWR04,,**CHEP**
047125,Gar/W 6/Tub Roseli,195 ,,,,
8261M,96.67% ,195 ,,,,
 10/01/2018,157452,117 ,(107),GWR04,,
 10/01/2018,157453,52 ,(159),GWR04,,
 10/01/2018,157454,39 ,(198),GWR04,,
 10/01/2018,157455,78 ,(276),GWR04,,
